id,source,related,gui,os,duplicate,prereq_tutorial,links,comments
2,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/webinar-series-gitops-tool-sets-on-kubernetes-with-circleci-and-argo-cd,
1,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-back-up-large-directories-with-unison-on-ubuntu-16-04,
3,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/securing-communications-three-tier-rails-application-using-ssh-tunnels,
4,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-deploy-elixir-phoenix-applications-with-mysql-on-ubuntu-16-04,
6,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-monitor-nagios-alerts-with-alerta-on-ubuntu-16-04,
7,do,y,n,ubuntu18,n,y,https://www.digitalocean.com/community/tutorials/how-to-build-atari-bot-with-openai-gym,
8,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-secure-openfaas-using-docker-swarm-on-ubuntu-16-04,
11,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-secure-concourse-ci-with-ssl-using-nginx-on-ubuntu-16-04,
12,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-secure-your-orientdb-database-on-ubuntu-16-04,
14,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-back-up-mongodb-using-droplet-snapshots,
15,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-buildbot-with-ssl-using-an-nginx-reverse-proxy,
16,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-an-orientdb-cluster-on-ubuntu-16-04,
17,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-back-up-a-mysql-database-to-spaces-using-lvm-snapshots,
18,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-block-unwanted-ssh-login-attempts-with-pyfilter-on-ubuntu-16-04,
19,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-gather-infrastructure-metrics-with-packetbeat-and-elk-on-ubuntu-16-04,
20,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-scheduled-logical-mongodb-backups-to-digitalocean-spaces,
22,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-monitor-zabbix-alerts-with-alerta-on-ubuntu-16-04,
23,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/webinar-series-building-blocks-for-doing-ci-cd-with-kubernetes,
25,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-manage-and-monitor-docker-containers-with-dry-on-ubuntu-16-04,
27,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-write-a-slash-command-with-flask-and-python-3-on-ubuntu-16-04,
28,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-sync-transformed-data-from-mongodb-to-elasticsearch-with-transporter-on-ubuntu-16-04,
29,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/webinar-series-kubernetes-package-management-with-helm-and-ci-cd-with-jenkins-x,
30,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-systemd-unit-files-for-buildbot,
31,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/deploying-react-applications-with-webhooks-and-slack-on-ubuntu-16-04,
32,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-python-decouple-with-digitalocean-spaces-in-django,
33,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/webinar-series-building-containerized-applications,
34,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/exploring-jekyll-s-default-content,
36,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-spin-up-a-hadoop-cluster-with-digitalocean-droplets,
37,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-verify-code-and-encrypt-data-with-python-gnupg-and-python-3,
38,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-use-node-js-and-github-webhooks-to-keep-remote-projects-in-sync,
40,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-orientdb-on-ubuntu-16-04,
42,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-the-titan-graph-database-with-cassandra-and-elasticsearch-on-ubuntu-16-04,
43,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-audit-docker-host-security-with-docker-bench-for-security-on-ubuntu-16-04,
44,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-proxy-digitalocean-spaces-with-nginx-on-ubuntu-16-04,
45,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-encrypt-traffic-to-redis-with-peervpn-on-ubuntu-16-04,
46,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-add-the-log-module-to-nginx-on-ubuntu-16-04,
47,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-secure-nginx-with-naxsi-on-ubuntu-16-04,
49,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-create-digitalocean-snapshots-using-packer-on-ubuntu-16-04,
54,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-deploy-cockroachdb-on-a-three-node-cluster-on-ubuntu-16-04,
56,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-vestacp-and-migrate-user-data,
58,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-encrypt-traffic-to-redis-with-spiped-on-ubuntu-16-04,
60,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-autoscale-gitlab-continuous-deployment-with-gitlab-runner-on-digitalocean,
61,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-ensure-code-quality-with-sonarqube-on-ubuntu-16-04,
62,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-the-digitalocean-api-v2-with-ansible-2-0-on-ubuntu-16-04,
64,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-logrotate-and-s3cmd-to-archive-logs-to-object-storage-on-ubuntu-16-04,
65,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-phpipam-on-ubuntu-16-04,
